locusId,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
PP_0001,0.0049676230318255335,0.018085881638165727,-0.011452528699777456,0.03550791620456754,-0.017934627700498425,-0.002764000014361858,-0.034891748546097896,-0.03386284058165792,0.0015417348776517327,-0.0031347568722576813,0.0158313261780774,0.014755627348340032,0.0004053832450143771,0.018489556011650345,-0.014440523104542177,-0.06033563731267827,0.025223696296178627,-0.007552668193149804,0.023384445161618146,0.009288169838812381
PP_0002,-0.009239576800862187,-0.0036872120512171703,-0.016947137635389912,0.013101824519333964,-0.020170759776719137,0.002210523602957374,-0.010511148730493514,-0.00052393527560701,-0.0026868228773678847,-0.003055950016075418,-0.0014001930101326593,0.037492138411584296,-0.009072279805885333,0.002529641527424109,0.015039052089468801,-0.017364608534264303,0.007613352721383055,-0.005915448597031389,-0.006062365558750601,-0.0017884793317304332
PP_0003,-0.005048766877308188,-0.004872844225991182,-0.022064192440474126,-0.00652732779021403,-0.0036268168482574497,0.0004066165792960288,-0.002696876666514253,-0.010624443562674668,-0.004326667479905975,-0.002376247994288446,0.010614832846262318,0.0014730292373281726,-0.008407325879260227,0.0030259060246150037,0.01408121199958145,-0.012938044912382575,0.014367872948144417,-0.015761680935419548,-0.0006523529319950648,-0.006738711327304501
PP_0007,0.023911457559318686,0.009490601711482987,0.018398955678233544,0.01855272664584273,-0.004895182733934953,-0.0017611568888558952,-0.005503440743799458,0.001346554494133496,0.00688846842109265,-0.0045694461413162656,-0.017557409049820245,0.0015105760700090758,-0.004785085742409131,0.04088505933635354,0.0036781191564131065,-0.012265474412512906,-0.008334515577080285,0.008943721711091123,-0.015279938504034397,-0.029511151396719063
PP_0012,0.006849203494133509,0.005245042822335625,0.0019007862759495165,0.006145561813037923,-0.0034055780586344855,0.0006859879149237856,-0.002598079887578086,0.008632526295895815,0.005680901197980609,-0.0009573952502380302,0.003133572612590409,0.0021923779011739624,-0.005997436685015031,-0.006234369473420281,0.006207875357188033,-0.001617210274223738,-0.0018163701438993285,0.002200579868785262,-0.0007280715862321131,-0.00019191886586634674
PP_0014,0.002979459834441228,-0.004877980282046515,0.005885773737273919,0.0013971067378841858,-0.004928486630986654,-0.001047461009154849,-0.0006568095187500612,0.0010498151586239264,0.002824800749269286,-0.0060016510204229075,0.0009256081861570054,-8.779543173211608e-05,0.0022989488328205294,-0.00468055733357859,0.000647527598066066,0.002440169991191249,-0.0027570630857477424,-0.004038382064589034,-0.0015706189899565212,-0.003808227090270226
PP_0015,0.00686436000593113,-0.004747093265092836,0.0022220556983550276,0.002823024066065242,-0.004417796553636495,-0.002201175436676876,0.00085299494244289,-0.002343404411529965,0.001969257690673974,-0.0030276409580716718,-0.003936094933714569,0.00292636218071824,-0.0008216582108484011,-0.007419798914703506,-0.0020416239705620255,-0.0005556475955647756,0.0009992629834956672,-0.0077954379319154525,-0.0025652489426071724,-0.003824303761117949
PP_0016,0.004793576864662595,-0.0015770580831109624,0.004662271896422962,0.0015876643114231409,-0.007463763474322485,-0.0017898328228412009,0.00035748793772690077,-0.005522206021822523,0.000782174877961346,-0.010296587243361643,0.0010250719982855853,0.00284258211436933,-0.0020530595919161024,-0.003625785541578738,-0.00042452716864733905,-0.0005929007163125163,0.0019230341050550626,-0.011389229662866242,-0.0010264177457575783,-0.0062248739902145064
PP_0017,0.0056936423775370715,0.0044843458343490974,-0.011631611037111448,0.005351332057969382,-0.005380326440481628,-0.00546612173564685,0.00010104703601902435,-0.0028895357397319588,0.0005065967628608186,-0.013603952903370409,-0.0009349541725561754,-0.005997500680807918,0.000113648916526192,0.0040366986639901285,0.00168170162557988,0.0025032379609425236,0.005050801356120648,-0.004160421904062247,0.003354258490086728,0.0049587614360563975
PP_0020,0.008906851709536508,-0.0021414128441023792,-0.005019174316884574,-0.0012110421102444154,-0.001919201957985062,-0.0015657068970482873,0.001546830242102785,-0.009233747081795758,-0.00402978306108581,-0.028422793288441286,-0.00283721455903991,-0.00559444503751016,-0.004800420992781346,-0.004160289420762822,-0.0010647415478965763,0.0025895900888572372,0.0023032633797322156,-0.008792632536749022,-0.0012942481305735145,-0.003515211448192473
